1. culture 	문화, 교양
175. address 	주소, 연설 
176. continent 	대륙 
177. mankind 	인류, 인간 
178. patient 	환자, 참을성 있는 
179. site 	부지, 위치, 장소 
180. marble 	대리석 
181. stem 	줄기 
182. slip 	미끄러지다, 미끄러짐, 실수 
183. torch 	횃불 
184. composer 	작곡자 
185. invader 	침입자 
186. trick 	계략, 속임수 
187. flight 	비행 
188. castle 	성 
189. envelope 	봉투 
190. pal 		친구 
191. vacation 	휴가 
192. desert 	사막 
193. event 	사건, 행사 
194. theater 	극장 
195. stage 	단계, 무대 
196. error 	실수, 잘못 
197. area 	지역 
198. base 	기초, 토대 
199. basement 	지하실 
200. evil 	악, 나쁜 
201. atom 	원자 
202. poet 	시인 
203. petal 	꽃잎 
204. chance 	기회 
205. mind 	마음, 꺼려하다 
206. climate 	기후 
207. suburb 	교외 
208. throat 	목구멍 
209. voice 	목소리 
210. valley 	계곡 
211. Puritan 	청교도, 청교도의 
212. feather 	깃털 
213. amateur 	아마추어, 비전문가 
214. nation 	국가 
215. puzzle 	수수께끼, 당황하게 하다 
216. riddle 	수수께끼 
217. rear 	뒤쪽, 기르다 
218. battle 	전투, 싸움 
219. laundry 	세탁소 
220. shower 	소나기, 샤워  
221. navy 	해군 
222. Mars 	화성 
223. gallery 	화랑, 미술관 
224. guest 	손님 
225. folk 	사람들 
226. problem 	문제 
227. jewel 	보석 
228. garage 	차고 
229. fault 	결점, 잘못 
230. lantern 	랜턴, 초롱불 
231. import 	수입, 수입하다 
232. angle 	각도, 관점 
233. match 	시합, -에 어울리다 
234. stripe 	줄무늬 
235. pulse 	맥박 
236. powder 	가루, 화약 
237. flood 	홍수, 넘쳐 흐르다 
238. bush 	수풀, 덤불 
239. branch 	가지, 지점 
240. hero 	영웅, 주인공 
241. heaven 	하늘, 천국 
242. exit 	출구 
243. beast 	짐승 
244. century 	세기, 100년 
245. coeducation 	남녀공학 
246. twin 	쌍둥이의 한 사람, twins 쌍둥이 
247. wound 	상처, 부상 
248. metal 	금속 
249. insect 	곤충 
250. track 	지나간 자국, 선로 
251. deserve 	받을 가치가 있다, -할 만하다 
252. survive 	살아남다, -보다 오래 살다 
253. create 	창조하다 
254. describe 	묘사하다, 상세히 기술하다 
255. select 	고르다 
256. hesitate 	주저하다, 망설이다 
257. declare 	선언하다, 발표하다 
258. pretend 	-인 체하다 
259. struggle 	투쟁하다 
260. explore 	탐험하다 
261. astonish 	놀라게 하다 
262. disappoint 	실망시키다 
263. attract 	(흥미를) 끌다 
264. celebrate 	축하하다, 찬양하다 
265. explode 	폭발하다 
266. include 	포함하다 
267. protect 	보호하다 
268. introduce 	소개하다 
269. produce 	생산하다 
270. chase 	쫓다, 추적 
271. scratch 	할퀴다, 긁다 
272. crash 	충돌하다 
273. stare 	응시하다 
274. gaze 	응시하다, 바라보다 
275. scare 	놀라게 하다 
276. grab 	움켜잡다 
277. guard 	지키다, 경비원 
278. discuss 	토론하다 
279. shrug 	어깨를 으쓱이다 
280. sniff 	냄새 맡다 
281. scream 	소리치다 
282. rid 		제거하다 
283. surround 	둘러싸다 
284. cleave 	쪼개다, 쪼개지다 
285. carve 	조각하다, 새기다 
286. except 	-을 제외하다, -을 제외하고는 
287. invent 	발명하다 
288. search 	찾다 
289. abuse 	남용하다 
290. owe 	빚이 있다 
291. bless 	축복하다 
292. graduate 	졸업하다 
293. replace 	제자리에 놓다, -을 대신하다 
294. collect 	모으다, 수집하다 
295. upset 	뒤엎다, 당황하게 하다 
296. arrest 	체포하다 
297. prove 	증명하다 
298. yell 	외치다 
299. howl 	짖다, 울부짖다 
300. halt 	멈추다 
301. leak 	새다 
302. behave 	행동하다 
303. wrap 	싸다, 하다  
304. locate 	위치하다 
305. charge 	청구하다 
306. review 	복습하다 
307. refuse 	거절하다 
308. complain 	불평하다 
309. remain 	남다, (여전히) -대로이다 
310. warn 	경고하다 
311. bend 	구부리다 
312. suffer 	(고통을) 겪다, 괴로워하다 
313. whisper 	속삭이다 
314. prepare 	준비하다 
315. roar 	으르렁거리다 
316. float 	뜨다, 띄우다, 떠 다니다 
317. drag 	질질 끌다 
318. overhear 	엿듣다 
319. slide 	미끄러지다 
320. suck 	빨다 
321. bother 	괴롭히다 
322. deal 	분배하다, 거래하다 
323. treat 	다루다, 대우하다 
324. destroy 	파괴하다 
325. accept 	받아들이다 
326. depend 	-에 의지하다, -에 달려있다 
327. nod 	(고개를) 끄덕이다 
328. remove 	제거하다, 치우다 
329. beat 	때리다 
330. clap 	(손뼉을) 치다, 툭 치다 
331. feed 	먹을 것을 주다 
332. obtain 	얻다 
333. drown 	(물에) 빠져 죽다, 빠뜨리다 
334. remind 	생각나게 하다 
335. occur 	(일이) 발생하다, 일어나다 
336. ache 	아프다, 아픔 
337. repeat 	도l풀이하다 
338. attend 	참석하다 
339. sigh 	한숨쉬다, 한숨 
340. pray 	빌다, 기도하다
341. press 	누르다 
342. bear 	(아이를) 낳다, 참다 
343. follow 	따르다 
344. hate 	미워하다 
345. frighten 	놀라게 하다 
346. shout 	외치다 
347. mention 	말하다 
348. waste 	낭비하다, 낭비 
349. borrow 	빌리다, 차용하다 
350. complete 	완성하다, 완전한 
351. excellent 	뛰어난, 우수한 
352. competent 	유능한 
353. religious 	종교적인 
354. favorite 	아주 좋아하는 
355. entire 	전체의 
356. primary 	주요한, 본래의, 초보의 
357. similar 	비슷한 
358. precious 	귀중한 
359. normal 	정상의, 보통의 
360. popular 	인기있는, 유행의 
361. compulsory 	의무적인, 필수적인 
362. curious 	호기심이 강한 
363. independent 	독립의 
364. intimate 	친밀한 
365. delicious 	맛있는 
366. valuable 	귀중한 
367. grave 	중대한, 무덤 
368. elementary 	초보의 
369. crazy 	미친, 열광적인 
370. contrary 	반대의, 반대 
371. regular 	규칙적인 
372. social 	사회의, 사회적인 
373. straight 	똑바른, 똑바로 
374. noble 	고귀한, 고상한 
375. anxious 	걱정되는, 열망하는 
376. international 	국제적인 
377. greedy 	탐욕스러운 
378. stupid 	어리석은 
379. silly 	어리석은 
380. lonely 	외로운 
381. dirty 	더러운 
382. various 	여러가지의, 다양한 
383. private 	개인의, 사적인 
384. vain 	헛된, 무익한, 허영심이 강한 
385. sore 	아픈 
386. fierce 	사나운 
387. firm 	굳은 
388. solar 	태양의 
389. smart 	멋진, 영리한 
390. single 	단 하나의 
391. diligent 	부지런한 
392. serious 	진지한, 중대한, 심각한 
393. fresh 	새로운, 신선한 
394. empty 	빈 
395. mild 	온화한, 상냥한 
396. amazing 	놀라운 
397. charming 	매력적인 
398. boring 	지루한 
399. giant 	거인 
400. huge 	거대한  
401. tiny 	아주 작은 
402. fair 	공평한, 공정한 
403. tough 	단단한, 질긴, 거친 
404. foreign 	외국의 
405. modern 	현대의 
406. expensive 	값비싼 
407. harmful 	해로운 
408. calm 	평온한 
409. special 	특별한 
410. steady 	꾸준한, 한결같은 
411. hay 	건초 
412. revival 	부활 
413. million 	백만 
414. crop 	농작물, 수확 
415. shade 	그늘 
416. company 	친구, 회사 
417. canal 	운하 
418. wagon 	짐마차 
419. fact 	사실 
420. joy 		기쁨
421. concert 	음악회 
422. rule 	규칙, 습관 
423. suitcase 	여행가방 
424. weight 	무게, 중량 
425. hurray 	만세 
426. mail 	우편 
427. log 	통나무 
428. hut 	오두막집 
429. tax 		세금 
430. dye 	염색하다, 물들이다 
431. earnings 	돈벌이, 벌이 
432. flame 	불꽃 
433. shape 	모양, 형태 
434. chest 	가슴 
435. chain 	사슬 
436. cost 	비용, 비용이 들다 
437. coast 	해안 
438. circle 	원, 집단 
439. heart 	심장, 마음 
440. nature 	자연 
441. fever 	열병, 열 
442. tongue 	혀, 언어 
443. trust 	신용, 신뢰 
444. whisker 	구레나룻 
445. prison 	감옥 
446. blood 	피, 혈액 
447. loaf 	빵 한덩어리 
448. list 		명부, 목록 
449. fence 	울타리 
450. enemy 	적 
451. thief 	도둑 
452. data 	자료, 데이터 
453. soldier 	군인 
454. musician 	음악가 
455. capital 	수도, 자본, 주요한 
456. course 	진로, 과정 
457. diary 	일기 
458. squirrel 	다람쥐 
459. dawn 	새벽, 날이 새다 
460. shadow 	그림자
461. ditch 	도랑 
462. crew 	승무원 
463. stomach 	위 
464. neighbor 	이웃 사람 
465. servant 	하인 
466. hunger 	배고픔, 굶주림 
467. tomb 	무덤 
468. taste 	맛, 취미, 맛을 보다 
469. sign 	신호, 기호, 신호하다, 서명하다 
470. stair 	계단 
471. trip 	여행 
472. brain 	뇌, 두뇌 
473. trumpet 	나팔, 트럼펫 
474. speech 	말, 연설 
475. thumb 	엄지손가락 
476. horn 	뿔, 경적 
477. chief 	우두머리, 주요한 
478. trousers 	바지 
479. prince 	왕자 
480. force 	힘, 강제로 시키다
481. sight 	광경, 풍경, 시야 
482. space 	공간, 우주 
483. wool 	양모 
484. expressway 	고속도로 
485. science 	과학 
486. examination 	시험, 조사, 검사 
487. jar 		항아리, 단지 
488. salt 	소금 
489. death 	죽음 
490. saw 	톱, 톱질하다 
491. swing 	그네, 진동 
492. wish 	소원, 원하다 
493. grain 	곡식 
494. eraser 	지우개 
495. alphabet 	알파벳 
496. shoulder 	어깨 
497. nephew 	조카 
498. niece 	조카딸 
499. library 	도서관 
500. factory 	공장 
501. giraffe 	기린 
502. hawk 	매 
503. pigeon 	비둘기 
504. bowl 	사발, 그릇 
505. scene 	장면, 현장 
506. life 		생명, 생활, 일생 
507. earth 	지구, 땅, 흙 
508. pill 		알약 
509. math 	수학 
510. ocean 	대양 
511. price 	값, 가격 
512. row 	줄, 열, 노를 젓다 
513. schedule 	일정, 예정표, 계획을 짜다 
514. machine 	기계 
515. route 	길, 여정, 노정 
516. ivy 		담쟁이덩굴 
517. gift 	선물 
518. candle 	초, 양초 
519. joke 	농담 
520. art 		예술, 미술 
521. corn 	곡물, 옥수수
522. pet 	애완동물, 사랑하는 
523. robber 	강도 
524. cheek 	뺨, 볼 
525. clerk 	사무원, 점원 
526. cookie 	쿠키 
527. army 	육군, 군대 
528. nurse 	간호사 
529. master 	주인, 정복하다, 습득하다 
530. lock 	자물쇠 
531. moment 	순간 
532. sheet 	종이 한장 
533. monk 	승려 
534. teenager 	십대 
535. closet 	벽장 
536. handle 	손잡이, 다루다 
537. guide 	안내자, 안내서, 안내하다 
538. bar         막대기, 빗장, 법정 
539. ostrich 	타조 
540. knee 	무릎 
541. cricket 	크리켓 경기 
542. deck 	갑판 
543. bit 		조금 
544. silk 	비단 
545. jean 	진바지 
546. cotton 	솜, 목화 
547. drum 	북 
548. sand 	모래 
549. shock 	충격, 충격을 주다 
550. march 	행진, 행진하다 
551. cage 	새장, 우리 
552. whole 	전부 
553. change 	변화, 교환 
554. department 	부, 국 
555. office 	사무실 
556. ticket 	표, 입장권 
557. energy 	힘, 정력, 활기 
558. idea 	생각, 이념 
559. hospital 	병원 
560. noise 	소음
561. sample 	견본, 샘플 
562. example 	예, 보기 
563. lesson 	학과, 교습, 교훈 
564. plenty 	풍부, 많음 
565. luck 	운, 행운 
566. comedy 	희극, 코미디 
567. health 	건강 
568. history 	역사 
569. forest 	숲 
570. stream 	흐름, 개울, 흐르다 
571. future 	미래 
572. state 	상태, 주, 국가 
573. temple 	절, 사원 
574. dictionary 	사전 
575. grammar 	문법 
576. college 	단과 대학, 전문학교 
577. husband 	남편 
578. daughter 	딸 
579. captain 	우두머리, 선장 
580. booth 	오두막집, 작은 방
581. iceberg 	빙산
582. bubble 	풍선
583. bottom 	바닥
584. prize	상
585. bean 	콩
586. race 	경주
587. engineer 	기사, 기술자 
588. photographer 사진사 
589. reason 	이유 
590. subway 	지하철 
591. fog 	안개 
592. answer 	대답, 대답하다 
593. dining room 	식당 
594. step 	걸음, 한 걸음, 걷다 
595. heat 	열, 더위, 뜨겁게 하다 
596. bone 	뼈 
597. plant 	식물, 공장, (식물을) 심다 
598. lamb 	새끼 양 
599. rate 	비율, 속도, 요금 
600. report 	보고(서), 보고하다  
601. turtle 	거북 
602. bay 	만 
603. holiday 	휴일, 휴가 
604. center 	중심, 중심지 
605. cash 	현금 
606. wolf 	늑대 
607. operator 	기사, 교환수 
608. fur 		모피, 부드러운 털 
609. shore 	물가, 해안 
610. owl 	올빼미 
611. hunter 	사냥꾼 
612. pumpkin 	호박 
613. handshake 	악수 
614. bike 	자전거 
615. beach 	해안 
616. God 	신 
617. cough 	기침, 기침을 하다 
618. shell 	껍질, 조개 
619. business 	사업, 일 
620. restaurant 	식당
621. sheep 	양 
622. officer 	공무원 
623. hometown 	고향 
624. coil 	감긴 것, 코일 
625. ceiling 	천장 
626. turkey 	칠면조 
627. towel 	수건 
628. matter 	물질 
629. chopstick 	젓가락 
630. seat 	좌석 
631. board 	판자 
632. goal 	목표 
633. drugstore 	약국 
634. rat 		쥐 
635. butterfly 	나비 
636. flute 	플룻 
637. couple 	한쌍 
638. beer 	맥주 
639. background 	배경 
640. bottle 	병 
641. body 	몸, 신체 
642. group 	집단, 무리 
643. village 	마을 
644. beef 	쇠고기 
645. load 	짐, 부담 
646. coin 	동전, 화폐 
647. bookstore 	서점 
648. label 	꼬리표, 라벨, 상표 
649. port 	항구 
650. quarter 	4분의1, 15분 
651. sunrise 	해돋이, 일출 
652. sunshine	햇빛 
653. wedding 	결혼식 
654. crown 	왕관 
655. seed 	씨 
656. coal 	석탄 
657. comb 	빗 
658. dream	 꿈 
659. sugar 	설탕 
660. mile 	마일
661. flashlight 	(카메라의)플래시, 손전등 
662. vegetable 	채소, 야채 
663. mouse 	생쥐 
664. wood 	나무, 숲 
665. war 	전쟁 
666. ground 	땅, 운동장 
667. belt 	허리띠, 띠 
668. tourist 	관광객, 여행자 
669. airport 	공항 
670. passport 	여권 
671. plate 	접시 
672. stone 	돌 
673. downtown 	상가, 번화가 
674. cousin 	사촌 
675. tooth 	이 , 치아
676. potato 	감자 
677. blanket 	담요 
678. creek 	시냇물 
679. nail 	손톱, 발톱 
680. letter 	편지, 문자 
681. date 	날짜, 데이트 약속 
682. store 	가게, 저장 
683. beggar 	거지 
684. bedside 	침대 곁 
685. deer 	사슴 
686. bill 		계산서, 지폐 
687. doll 	인형 
688. pepper 	후추 
689. frog 	개구리 
690. rest 	휴식, 나머지 
691. tower 	탑 
692. bridge 	다리 
693. cloth 	천, 직물 
694. post 	우편(물) 
695. snake 	뱀 
696. job 	직업, 일 
697. town 	읍, 도시, 도회지 
698. fun 	재미, 즐거움 
699. bathroom 	욕실 
700. tail 		꼬리 
701. mayor 	시장 
702. piece 	조각 
703. fruit 	과일 
704. British 	영국의 
705. French 	프랑스의 
706. German 	독일의 
707. sale 	판매 
708. rope 	밧줄 
709. umbrella 	우산 
710. dollar 	달러 
711. mistake 	잘못 
712. birth 	출생 
713. pilot 	안내인, 조종사 
714. none 	아무도(아무것도) ~ 않다 
715. front 	앞 부분,정면 
716. present 	현재, 선물 
717. nickname 	별명, 애칭 
718. telephone 	전화 
719. pair 	한 쌍 
720. weather 	날씨 
721. dish 	접시, 요리 
722. hole 	구멍 
723. plane 	비행기 
724. living room 	거실 
725. gun 	총 
726. meat 	고기 
727. cover 	덮개, 표지 
728. grass 	풀, 잔디 
729. watch 	손목시계, 주의 
730. word 	낱말 
731. explain 	설명하다 
732. wear 	입다, 착용하다 
733. amuse 	즐겁게 하다, 웃기다 
734. suppose 	가정하다, 상상하다 
735. leap 	뛰다 
736. bury 	묻다 
737. engage 	약속하다, 고용하다, 약혼하다 
738. sow 	씨를 뿌리다 
739. lift 		들어올리다 
740. bow 	절하다 
741. rub 	비비다, 문지르다 
742. bite 	물다, 물어뜯다 
743. vote 	투표하다 
744. hop 	뛰다 
745. imagine 	상상하다
746. allow 	허락하다 
747. offer 	제공하다 
748. gain 	얻다, 이기다, (시계가) 더 가다 
749. alarm 	놀람, 경보 
750. obey 	복종하다 
751. steal 	훔치다 
752. dig 	파다 
753. choose 	고르다, 선택하다 
754. receive 	받다 
755. bet 	(돈 등을) 걸다 
756. hurt 	상처를 입히다 
757. burn 	타다, 태우다 
758. sink 	가라앉다 
759. decide 	결정하다, 결심하다 
760. beg 	구걸하다, 청하다 
761. reply 	대답하다 
762. tear 	찢다, 찢어지다 
763. flow 	흐르다, 넘쳐흐르다 
764. remember 	기억하다, 생각해내다 
765. appear 	나타나다,~인 것 같다 
766. breathe	호흡하다 
767. whistle 	휘파람을 불다 
768. draw 	끌다, 당기다, 그리다 
769. sound 	소리가 나다,~하게 생각되다 
770. save 	구하다, 저축하다 
771. continue 	계속하다 
772. check 	저지하다, 대조하다 
773. sail 	항해하다 
774. wake 	깨다, 깨우다 
775. agree 	동의하다 
776. hang 	걸다, 매달다 
777. record 	기록하다 
778. drop 	떨어지다, 떨어뜨리다 
779. climb 	기어오르다, 오르다 
780. add 	더하다, 보태다  
781. shine 	빛나다 
782. invite 	초대하다 
783. join 	결합하다, 참가하다 
784. hide 	숨기다, 숨다 
785. bring 	가져오다, 데려오다 
786. wink 	눈을 깜박이다, 눈짓하다 
787. shoot 	쏘다, 사격하다 
788. roll 	구르다, 굴리다 
789. pull 	끌다, 당기다 
790. push 	밀다 
791. guess 	추측하다 
792. belong 	~에 속하다,~의 것이다 
793. happen 	일어나다, 생기다, 우연히~하다 
794. pick 	찌르다, 고르다, 줍다 
795. shake 	흔들다, 떨다 
796. fill 		채우다, 가득 차다 
797. fail 		실패하다 
798. fight 	싸우다 
799. fear 	두려워하다 
800. carry 	나르다, 운반하다 
801. dive 	(물 속으로) 뛰어들다 
802. win 	이기다, 얻다 
803. ride 	타다, 타고 가다 
804. turn 	돌다, 돌리다, 변화하다 
805. need 	필요로 하다 
806. build 	짓다, 건축하다 
807. hurry 	서두르다, 재촉하다 
808. return 	돌아가다(오다),돌려주다 
809. believe 	믿다 
810. surprise 	놀라다 
811. gather 	모으다 
812. throw 	던지다 
813. raise 	올리다, 일으키다, 승진시키다 
814. count 	세다, 계산하다 
815. smell 	냄새맡다 
816. spend 	소비하다, 지내다 
817. pitch 	던지다 
818. pop 	펑 하고 소리나다, 탁 튀다 
819. blow 	불다 
820. miss 	놓치다, 그리워하다 
821. excuse 	용서하다, 변명하다 
822. hit 		치다 
823. tie 		매다, 묶다 
824. touch 	닿다, 감동시키다 
825. stay 	머무르다 
826. enjoy 	즐기다 
827. lose 	잃다, 지다, (시계가)늦게 가다 
828. close 	닫다,(눈을) 감다 
829. arrive 	도착하다 
830. travel 	여행하다 
831. reach 	도착하다, 닿다 
832. hold 	쥐다, 개최하다 
833. worry 	걱정하다, 괴롭히다 
834. marry 	결혼하다 
835. expect 	기대하다, ~이라고 생각하다 
836. understand 	이해하다, 알다 
837. become 	~이 되다, ~에 어울리다 
838. break 	부수다, 깨뜨리다 
839. smoke 	담배 피우다 
840. lend 	빌려주다
841. shut 	닫다 
842. sleep 	자다 
843. lay 		놓다, 눕히다, (알을) 낳다
844. paint 	그리다, 페인트를 칠하다 
845. lead 	인도하다, 지내다 
846. pass 	지나가다, 합격하다 
847. hand 	건네주다, 주다 
848. ancient 	고대의 
849. nuclear 	핵의 
850. necessary 	필요한 
851. common 	공통의, 보통의 
852. inner 	안쪽의 
853. thirsty 	목마른 
854. thin 	얇은, 야윈 
855. gray 	회색의 
856. famous 	유명한 
857. industrial 	산업의, 공업의 
858. silent 	침묵의, 조용한 
859. absent 	결석한, 없는 
860. flat 	평평한 
861. main 	주요한 
862. wild 	야생의, 난폭한 
863. wet 	젖은 
864. blind 	눈먼 
865. dumb 	벙어리의 
866. sharp 	날카로운 
867. terrible 	끔찍한, 무서운 
868. grand 	웅장한, 화려한 
869. homesick 	향수병의, 향수에 잠긴 
870. bound 	~에 가려고 하는,~행(行)의 
871. fat 		살찐 
872. strange 	이상한, 낯선 
873. pleasant 	즐거운, 유쾌한 
874. handsome 	잘생긴, 멋진 
875. equal 	같은, 동등한 
876. dear 	친애하는, 값비싼 
877. sweet 	단, 달콤한 
878. dull 	무딘, 우둔한 
879. weak 	약한 
880. bright 	밝은, 영리한 
881. honest 	정직한 
882. elder 	손위의, 연상의 
883. such 	그러한, 이러한 
884. able 	~할 수 있는, 유능한 
885. loud 	큰 목소리의, 시끄러운 
886. simple 	단순한, 간단히 
887. clever 	영리한 
888. proud 	자랑스러운, 오만한 
889. foolish 	어리석은 
890. possible 	가능한 
891. enough 	충분한 
892. wise 	현명한 
893. wide 	넓은 
894. successful 	성공한 
895. clear 	맑은, 명백한 
896. clean 	깨끗한 
897. deep 	깊은 
898. own 	자기 자신의,독자적인 
899. cheap 	값싼 
900. certain 	확실한, 어떤 
901. important 	중요한
902. stormy	폭풍의
903. true		진실한
904. sad		슬픈
905. gay		명랑한, 화려한
906. merry	즐거운
907. colorful	다채로운, 화려한
908. wonderful	놀랄만한, 훌륭한
909. peaceful	평화로운
910. angry	성난
911. dry		마른
912. wrong	나쁜, 틀린
913. heavy	무거운
914. quiet	조용한
915. several	여럿의
916. alone	홀로, 다만-뿐
917. crowded	붐비는, 혼잡한
918. excited	흥분한
919. alive	살아있는
920. brown	갈색의, 갈색
921. different	다른
922. difficult	어려운
923. interesting	재미있는
924. unlike	같지 않은
925. least	가장 적은, 최소한의
926. afraid	무서워하여
927. cool		서늘한, 냉정한
928. pretty	예쁜, 꽤, 상당히
929. kind		친절한, 종류
930. sick		병든, 싫증난
931. useless	쓸모없는
932. busy	바쁜
933. early	이른, 일찍이
934. past	        과거의, 과거, -을 지나서
935. dark	어두운, 어둠
936. cloudy	구름이 낀
937. short	짧은, 작은
938. low		낮은, 낮게
939. sincerely	성실히
940. fortunately	운좋게, 다행히
941. finally	최후로, 마침내
942. immediately	곧, 즉시
943. especially	특별히
944. else		그밖에
945. actually	실제로
946. hardly	거의-아니다.
947. otherwise	다른 방법으로, 그렇지 않으면
948. tightly	단단히
949. recently	최근에
940. rapidly	빨리, 신속히
951. however	아무리-해도, 그러나
952. politely	공손히
953. rudely	무례하게
954. further	더욱이, 게다가, 더 먼
955. frankly	솔직히
956. properly	적당히, 올바르게
957. hastily	서둘러서
958. rather	오히려, 얼마간
959. together	함께
960. altogether	전혀, 대체로
961. suddenly	갑자기
962. mostly	대개는
963. correctly	정확히
964. ahead	앞으로, 앞에
965. instead	대신에
966. quite	아주, 매우
967. nearly	거의
968. badly	나쁘게, 매우, 몹시
969. almost	거의
970. exactly	정확히, 꼭
971. apart	떨어져서, 따로
972. afterward	후에, 나중에
973. later	후에, 나중에, 보다 늦은
974. maybe	아마
975. perhaps	아마
976. probably	아마
977. either	-도 또한 -하지 않다.
978. neither	-도 아니고-도 아니다.
979. besides	게다가, 그밖에
980. anyway	어쨌든, 아무튼
981. sometime	언젠가
982. forward	앞쪽에, 앞으로
983. since	그 후, -이래
984. once	한번, 한때
985. twice	두 번
986. indeed	참으로
987. seldom	좀처럼-하지 않다.
988. upside down	거꾸로
989. whether	-인지 어떤지
990. unless	-하지 않으면
991. thought	비록-일지라도, -이지만
992. while	-하는 동안
993. usually	보통, 대개
